Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A84,treated_high,Unknown,1,CTNNB,Test,17.9182654979142,-1,1,Pass,0.0214762905126088,83.8965706977254,999,1,
S06-A83,treated_high,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A82,treated_high,Unknown,1,PPIA,Test,13.6985970359703,-1,1,Pass,0.0214762905126088,84.7111011233631,999,1,
S06-A81,treated_high,Unknown,1,RELA,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A80,treated_high,Unknown,1,SMYD3,Test,22.3919653739337,-1,1,Pass,0.0214762905126088,72.5824858586679,999,1,
S06-A79,treated_high,Unknown,1,UGCG,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A90,treated_high,Unknown,1,LRP6,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A89,treated_high,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A88,treated_high,Unknown,1,B2M,Test,14.7063367539256,-1,1,Pass,0.0214762905126088,86.1098334262866,999,1,
S06-A87,treated_high,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A86,treated_high,Unknown,1,SLCO3A1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A85,treated_high,Unknown,1,SP1,Test,18.1631968085791,-1,1,Pass,0.0214762905126088,75.9414398767136,999,1,
S06-A96,treated_high,Unknown,1,LRP6,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A95,treated_high,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S06-A94,treated_high,Unknown,1,B2M,Test,14.7538352678729,-1,1,Pass,0.0214762905126088,86.3533274800127,999,1,
S06-A93,treated_high,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
